TableID	TableNum	FloorNumber	Image	HasPlug
0201	1	2	common-table.jpg	0
0202	2	2	cubicle.jpg	0
0203	3	2	cubicle.jpg	1
0204	4	2	cubicle.jpg	1
0205	5	2	cubicle.jpg	1
0206	6	2	cubicle.jpg	1
0207	7	2	common-table.jpg	1
0208	8	2	common-table.jpg	0
0209	9	2	cubicle.jpg	0
0210	10	2	common-table.jpg	1
0211	11	2	common-table.jpg	1
0212	12	2	common-table.jpg	1
0213	13	2	cubicle.jpg	0
0214	14	2	cubicle.jpg	1
0215	15	2	cubicle.jpg	0
0216	16	2	cubicle.jpg	0
0217	17	2	common-table.jpg	1
0218	18	2	cubicle.jpg	1
0219	19	2	cubicle.jpg	1
0220	20	2	cubicle.jpg	0
0221	21	2	cubicle.jpg	0
0222	22	2	cubicle.jpg	1
0223	23	2	cubicle.jpg	0
0224	24	2	cubicle.jpg	1
0225	25	2	cubicle.jpg	1
0226	26	2	cubicle.jpg	1
0227	27	2	cubicle.jpg	0
0228	28	2	cubicle.jpg	0
0229	29	2	cubicle.jpg	1
0230	30	2	common-table.jpg	1
0231	31	2	cubicle.jpg	1
0232	32	2	cubicle.jpg	1
0233	33	2	cubicle.jpg	0
0234	34	2	cubicle.jpg	1
0235	35	2	cubicle.jpg	1
0236	36	2	cubicle.jpg	1
0237	37	2	cubicle.jpg	1
0238	38	2	cubicle.jpg	0
0239	39	2	common-table.jpg	0
0240	40	2	cubicle.jpg	1
0241	41	2	square.jpg	1
0242	42	2	square.jpg	1
0243	43	2	square.jpg	1
0244	44	2	square.jpg	1
0245	45	2	square.jpg	1
0246	46	2	square.jpg	1
0247	47	2	square.jpg	1
0248	48	2	square.jpg	1
0249	49	2	square.jpg	1
0250	50	2	square.jpg	1
0301	1	3	common-table.jpg	0
0302	2	3	cubicle.jpg	1
0303	3	3	with-computer.jpg	0
0304	4	3	common-table.jpg	1
0305	5	3	with-computer.jpg	0
0306	6	3	common-table.jpg	0
0307	7	3	cubicle.jpg	0
0308	8	3	common-table.jpg	0
0309	9	3	cubicle.jpg	0
0310	10	3	with-computer.jpg	0
0311	11	3	with-computer.jpg	1
0312	12	3	with-computer.jpg	1
0313	13	3	cubicle.jpg	0
0314	14	3	with-computer.jpg	0
0315	15	3	common-table.jpg	0
0316	16	3	cubicle.jpg	0
0317	17	3	with-computer.jpg	0
0318	18	3	common-table.jpg	0
0319	19	3	with-computer.jpg	1
0320	20	3	with-computer.jpg	0
0321	21	3	with-computer.jpg	0
0322	22	3	with-computer.jpg	1
0323	23	3	common-table.jpg	0
0324	24	3	common-table.jpg	0
0325	25	3	with-computer.jpg	0
0326	26	3	with-computer.jpg	0
0327	27	3	common-table.jpg	0
0328	28	3	with-computer.jpg	0
0329	29	3	common-table.jpg	0
0330	30	3	cubicle.jpg	0
0331	31	3	rectangle.jpg	0
0332	32	3	rectangle.jpg	0
0333	33	3	rectangle.jpg	1
0334	34	3	square.jpg	1
0335	35	3	rectangle.jpg	1
0336	36	3	rectangle.jpg	1
0337	37	3	square.jpg	0
0338	38	3	rectangle.jpg	1
0339	39	3	square.jpg	1
0340	40	3	rectangle.jpg	1
0341	41	3	rectangle.jpg	0
0342	42	3	rectangle.jpg	1
0343	43	3	square.jpg	1
0344	44	3	rectangle.jpg	1
0345	45	3	square.jpg	0
0346	46	3	rectangle.jpg	0
0347	47	3	square.jpg	0
0348	48	3	square.jpg	0
0349	49	3	rectangle.jpg	1
0350	50	3	rectangle.jpg	0
